"Ensembl_with_version","NegDegree"
"ENSG00000150995.20",217
"ENSG00000068024.17",196
"ENSG00000148411.8",193
"ENSG00000091436.17",191
"ENSG00000135842.17",184
"ENSG00000163681.16",180
"ENSG00000112208.11",172
"ENSG00000145012.13",172
"ENSG00000140416.23",170
"ENSG00000107130.10",170
"ENSG00000112320.12",166
"ENSG00000157570.12",166
"ENSG00000137124.8",163
"ENSG00000173546.7",160
"ENSG00000104936.19",159
"ENSG00000232855.7",154
"ENSG00000122786.20",151
"ENSG00000166831.9",147
"ENSG00000198947.16",147
"ENSG00000076706.17",147
"ENSG00000100628.12",145
"ENSG00000069535.14",145
"ENSG00000149596.7",144
"ENSG00000197256.11",144
"ENSG00000183963.19",142
"ENSG00000177469.13",142
"ENSG00000079308.19",141
"ENSG00000131471.7",140
"ENSG00000140682.19",140
"ENSG00000150051.14",140
"ENSG00000198624.13",139
"ENSG00000196924.19",139
"ENSG00000166165.13",139
"ENSG00000112276.14",139
