"Gene","Degree"
"ENSG00000150995.20",270
"ENSG00000148411.8",254
"ENSG00000091436.17",253
"ENSG00000135842.17",244
"ENSG00000197321.15",236
"ENSG00000166025.18",231
"ENSG00000140416.23",228
"ENSG00000163681.16",228
"ENSG00000058866.15",223
"ENSG00000173546.7",221
"ENSG00000145012.13",220
"ENSG00000137124.8",218
"ENSG00000104936.19",217
"ENSG00000107130.10",217
"ENSG00000107159.13",215
"ENSG00000112208.11",214
"ENSG00000100628.12",209
"ENSG00000169504.15",207
"ENSG00000123119.12",206
"ENSG00000157570.12",205
"ENSG00000186868.16",205
"ENSG00000122786.20",204
"ENSG00000076706.17",204
"ENSG00000053438.11",204
"ENSG00000183963.19",203
"ENSG00000153179.13",202
"ENSG00000112425.16",201
"ENSG00000018236.15",198
"ENSG00000198624.13",197
"ENSG00000196924.19",196
"ENSG00000177469.13",196
"ENSG00000079308.19",195
"ENSG00000166831.9",195
"ENSG00000197256.11",194
"ENSG00000111696.12",194
"ENSG00000140682.19",193
