"Ensembl_with_version","PosDegree"
"ENSG00000065600.13",189
"ENSG00000127328.22",89
"ENSG00000169750.9",87
"ENSG00000138074.15",83
"ENSG00000147799.11",80
"ENSG00000125450.11",77
"ENSG00000110583.13",73
"ENSG00000029993.15",70
"ENSG00000130522.6",66
"ENSG00000111981.5",62
"ENSG00000179051.14",62
"ENSG00000106144.20",60
"ENSG00000162849.16",56
"ENSG00000224307.2",56
"ENSG00000137094.15",54
"ENSG00000172171.11",50
"ENSG00000165410.15",49
"ENSG00000040608.14",45
"ENSG00000254986.7",43
"ENSG00000198853.12",43
"ENSG00000073712.15",42
"ENSG00000125871.14",41
"ENSG00000107130.10",41
"ENSG00000146757.14",38
"ENSG00000239382.10",38
"ENSG00000111602.12",38
"ENSG00000155660.11",37
"ENSG00000108883.13",37
"ENSG00000273373.1",37
"ENSG00000183963.19",36
"ENSG00000161638.11",36
"ENSG00000157368.11",34
"ENSG00000114268.12",33
"ENSG00000135424.18",33
